order_id,item_id,name,price,quantity,author,publisher,thumbnail_url
dbcca645-d9a4-4a34-88c0-bdc986e548f7,199,히든 픽처스,12600,1,제이슨 르쿨락,문학수첩,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193790083.jpg
dbcca645-d9a4-4a34-88c0-bdc986e548f7,209,단 한 줄만 내 마음에 새긴다고 해도,21420,2,나민애,포레스트북스,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791194530398.jpg
d3470f19-115a-4eab-b4d1-8565b65914ab,466,3분만 바라보면 뇌가 젊어진다,12420,4,히라마쓰 루이,쌤앤파커스,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791194246381.jpg
d3470f19-115a-4eab-b4d1-8565b65914ab,154,예언자의 노래,16200,1,폴 린치,은행나무,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791167374929.jpg
99d1595a-b6cd-411a-a87a-aee09afcfa51,147,아침 그리고 저녁,11250,4,욘 포세,문학동네,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788954657129.jpg
99d1595a-b6cd-411a-a87a-aee09afcfa51,363,아이의 뇌,16020,4,김붕년,포레스트북스,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193506981.jpg
fe0008cd-0b5b-4606-9a21-bcc6a6a56b07,62,고독한 용의자,17550,5,찬호께이,위즈덤하우스,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791171713608.jpg
cd61c464-de03-4266-a50f-3a8b4eb09057,617,살아갈 날들을 위한 괴테의 시,17100,3,김종원,퍼스트펭귄,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791199040311.jpg
cd61c464-de03-4266-a50f-3a8b4eb09057,529,개 고양이 자연주의 육아백과,31500,1,리처드 H. 피케른 외,책공장더불어,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788997137404.jpg
b5c05712-ca95-4350-b9fa-5b8477b0b489,552,2025 시대에듀 Win-Q 잠수기능사 필기 단기합격,25200,1,기술자격연구팀,시대고시기획,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791138379984.jpg
b5c05712-ca95-4350-b9fa-5b8477b0b489,365,어떻게 말해줘야 할까,17820,2,오은영,김영사,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788934986652.jpg
cf8d65c2-ee60-482d-bd91-cb6f341316c7,535,2026 에듀윌 반려동물행동지도사 한권끝장+무료특강,24300,2,이하늬 외,에듀윌,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791136037602.jpg
cf8d65c2-ee60-482d-bd91-cb6f341316c7,525,특별한 강아지옷 만들기,16920,1,유아연,예문아카이브,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791187749301.jpg
cf8d65c2-ee60-482d-bd91-cb6f341316c7,617,살아갈 날들을 위한 괴테의 시,17100,2,김종원,퍼스트펭귄,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791199040311.jpg
c9837275-a26a-417d-9939-31b40876c1af,684,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,21600,2,이호정,리코멘드,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791194084099.jpg
c9837275-a26a-417d-9939-31b40876c1af,54,악의,15120,1,히가시노 게이고,현대문학,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9788972750031.jpg
c9837275-a26a-417d-9939-31b40876c1af,244,사물의 뒷모습,12600,1,안규철,현대문학,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791190885669.jpg
61cb01f8-401e-467d-815a-566e26b6d2bb,24,내게 남은 스물다섯 번의 계절,15120,4,슈테판 셰퍼,서삼독,https://contents.kyobobook.co.kr/sih/fit-in/300x0/pdt/9791193904213.jpg
